DECISION (keep/drop),group,term,type,ai_releases,total_releases,pct_ai,example_sentence,current
keep,A: kept AI-word (finds nothing new),AI-driven,shaped,473,473,100%,"The Foundation commits to assisting the Ministry in establishing India as a global leader in AI-driven digital agriculture transformation, aligning with the MeitY’s National Plan for AI",keep
keep,A: kept AI-word (finds nothing new),AI-enabled,shaped,433,433,100%,"Developed in collaboration with industry giants like L&T, Microsoft, CISCO, and more, SWAYAM Plus features innovative elements such as multilingual content, AI-enabled guidance, credit recognition, and pathways to employment",keep
keep,A: kept AI-word (finds nothing new),AI-powered,shaped,316,316,100%,"Indeed, from AI-powered map creation to targeted weather alerts, and from blockchain-secured data sharing to Twitter's rapid information flow, a potent mix of advanced and established technologies is reshaping disaster response",keep
keep,A: kept AI-word (finds nothing new),AI-based,shaped,306,306,100%,"New Website: Along with the portal, the website offers easy access to relevant information, featuring an AI-based chatbot for user-friendly interactions",keep
keep,A: kept AI-word (finds nothing new),AI-led,shaped,49,49,100%,"Other Make in India products launched included AI-DC Optical Solution by STL,which will connect GPUs in AI-led data centres and 2 Gbps Point to Multipoint UBR Radio by HFCL which offers affordable last mile connectivity",keep
keep,A: kept AI-word (finds nothing new),AI-related,shaped,42,42,100%,"GPAI is a multi-stakeholder initiative with 29 member countries, which aims to bridge the gap between theory and practice on AI by supporting cutting-edge research and applied activities on AI-related priorities",keep
keep,A: kept AI-word (finds nothing new),AI-ready,shaped,40,40,100%,"The discussion covered India’s unique needs and collaboration among industry, public sector and society to build an AI-ready generation in India, emphasizing human intelligence to thrive in an AI-driven world",keep
keep,A: kept AI-word (finds nothing new),AI-generated,shaped,38,38,100%,"Presently, there is no proposal to create any separate right so ram end the law in the context of AI-generated content",keep
keep,A: kept AI-word (finds nothing new),AI-assisted,shaped,36,36,100%,"Initiatives like e-Courts Project Phase III, AI-assisted legal translation, predictive policing, and AI-driven legal chatbots are reshaping the legal landscape, making processes faster, smarter, and more transparent",keep
keep,A: kept AI-word (finds nothing new),India-AI,shaped,36,36,100%,"He mentioned the launch of the India-AI Mission to build world-class infrastructure, high-quality datasets, and research facilities",keep
keep,A: kept AI-word (finds nothing new),AI-native,shaped,27,27,100%,"He stated that Bharat's 6G Vision aims to position India as a global 6G leader by 2030 through the Bharat 6G Alliance, 111+ funded research projects, global partnerships with Japan, Singapore, and Finland, and breakthroughs in terahertz com",keep
keep,A: kept AI-word (finds nothing new),Bio-AI,shaped,21,21,100%,This will accelerate technology development and commercialization by establishing Biomanufacturing & Bio-AI hubs and Biofoundry,keep
keep,A: kept AI-word (finds nothing new),India–AI,shaped,21,21,100%,"chnology (MeitY), Government of India, hosted a set of Pre-Summit events for the upcoming India–AI Impact Summit 2026 at the India Mobile Congress (IMC) 2025 in New Delhi today",keep
keep,A: kept AI-word (finds nothing new),AI-integrated,shaped,14,14,100%,The stall showcased India’s innovative skilling models and AI-integrated learning platforms,keep
