DECISION (keep/drop),group,term,type,ai_releases,total_releases,pct_ai,example_sentence,example_relid
,named system,MIS,named system,79,206,38%,Online Management Information System (MIS) has been developed for monitoring of the projects,252049
,named system,Community Managed Piped Water,named system,9,10,90%,"Further, to expedite the implementation and strengthening the existing monitoring mechanisms under Jal Jeevan Mission aiming at improving efficiency and effectiveness, steps like Village/ District Dashboards and linking Village Level Dashbo",286404
,named system,Indigenous RAN,named system,3,3,100%,"The presentation showcased India's advancements in areas such as indigenous RAN technology, intelligent networks for rural connectivity, and innovative applications across sectors like agriculture, health, and smart cities",260353
,named system,AIMC,named system,2,2,100%,I am sure that deliberations at this workshop will provide critical insights that will help us in adopting AIMC technology for the enhancement of National Highway construction,266711
,named system,ASUS,named system,2,4,50%,"Furthermore, an MoU has been signed between National Commission for Indian System of Medicine (NCISM), a statutory body constituted under NCISM Act, 2020 and Birla Institute for Technical Studies (BITS), Pilani to assess the AI preparedness",281592
,AI-shaped word,Microrobot,*bot,1,1,100%,Title of the Project Institute Name Year Amount (₹) 1 Adaptive and Granular DDoS Defense in Microservice-Based Cloud Systems via Container-Aware Traffic Redirection and Resource-Conscious Isolation Mechanisms Indian Institute of Technology ,292214
,AI-shaped word,Petrobot,*bot,1,1,100%,4th Runner-Up: Petrobot Technologies – Mr,283074
,AI-shaped word,Taqweem-AI,AI-*,1,1,100%,Taqweem-AI-Buldān 2017 70,257484
,phrase,quantum,1-word phrase,574,941,61%,"He exhorted the Gurukuls to advance in the areas of emerging and cutting edge technology, such as Artificial Intelligence and quantum technology, along with traditional education, in sync with today’s constantly-evolving times",252125
,phrase,data driven,2-word phrase,456,759,60%,"As each of the 100 Smart Cities began to implement ‘smart’ solutions, data has become a significant asset and an enabler for data driven governance, leading to urban transformation",254573
,phrase,digital infrastructure,2-word phrase,349,565,62%,§ The vision of National Digital Educational Architecture (NDEAR) is to create a unifying national digital infrastructure to energize and catalyse the education ecosystem,252139
,phrase,forecasting,1-word phrase,309,461,67%,"In the year 2023, inflow forecasting started at 5 stations namely Muthenkera Dam in Kerala, Subansiri Lower Dam in Arunachal Pradesh, Shetrunji Dam in Gujarat, Ichari Dam and Tehri Dam in Uttarakhand",252049
,phrase,alerts,1-word phrase,233,382,61%,"These services include weather forecasts (both on land and in the Oceans) and warnings for various natural disasters like tropical cyclones, storm surge, floods, heat waves, thunderstorm and lightning; alerts for Tsunamis and monitoring of ",252082
,phrase,ict,1-word phrase,227,375,61%,"As incorporation of ICT (Information and Communication Technology) based learning is being increasingly adopted as the modern means of pedagogy today, CIL has entered into a MoU with EdCIL (India) Limited for ""Digitizing Education in eleven",252098
,phrase,high performance,2-word phrase,212,344,62%,"Companies like NXP Semiconductors, Tenstorrent and Qualcomm India have signed MoUs in areas like High Performance Computing space, Design & Innovation in Compute space and Indian Telecom Stack",253079
,phrase,support system,2-word phrase,200,301,66%,"Export Promotion The Ministry of MSME has developed a dedicated support system for export promotion from MSME Sector by establishing 59 Export Facilitation Cells (EFCs) in its field institutions, namely, MSME-Development and Facilitation Of",252021
,phrase,divide,1-word phrase,178,296,60%,"National Girl Child Day is celebrated with a view to promote awareness about the rights of the girl child to bridge the gender divide and to lay emphasis on the importance of girl’s education, health and nutrition",252592
,phrase,meteorological department imd,3-word phrase,148,240,62%,,
,phrase,iisc,1-word phrase,145,237,61%,"0 (Women), 18,888 ideas have been received and under ‘Design’ component, 20 MoUs have been signed with IISc, Bangalore, 7 IITs, 12 NITs as Implementing Agencies and 24 Professional Design/Student Projects have been approved",252021
,phrase,weather forecasting,2-word phrase,139,191,73%,"India Meteorological Department (IMD), National Centre for Medium Range Weather Forecasting (NCMRWF), Centre for Marine Living Resources and Ecology (CMLRE), National Centre for Coastal Research (NCCR), National Centre for Seismology (NCS),",252082
,phrase,development and innovation,3-word phrase,135,222,61%,"He emphasized that the Indian Diaspora may connect with Indian faculty, researchers and students as well, to give them a new perspective towards research, development and innovation",252599
,phrase,weather events,2-word phrase,132,189,70%,IMD has great potential in utilizing technologies like machine learning and crowd-sourced data to refine its forecast and predict extreme weather events with greater precision,252381
,phrase,modelling,1-word phrase,126,206,61%,Development Phase of consultancy work for “Physical based Mathematical Modelling for estimation of Sediment Rate and Sediment Transport in Seven river Basin”,252049
,phrase,digital inclusion,2-word phrase,117,192,61%,"He also mentioned unprecedented strides in green and alternatives sources of energy, 3 times increase in renewable energy capacity, 20 times capacity in solar energy capacity, affordable data prices have led to digital inclusion, optical fi",252226
,phrase,quantum mission,2-word phrase,114,177,64%,The Cabinet has cleared Rs 6000 Crore for the National Quantum Mission to boost research in Quantum Technology,252381
,phrase,extreme weather events,3-word phrase,109,160,68%,IMD has great potential in utilizing technologies like machine learning and crowd-sourced data to refine its forecast and predict extreme weather events with greater precision,252381
,phrase,radars,1-word phrase,109,159,69%,"For example, the number of Doppler radars in the country has increased from 15 in 2014 to 39 in 2023, and additional 25 radars will be added in the next 2-3 years",252409
,phrase,training scheme,2-word phrase,99,165,60%,"4 Cr more than BE 2023-24 * In the scheme ‘ National Apprenticeship Training Scheme(NATS) ’, an allocation of Rs",252979
,phrase,cts,1-word phrase,92,153,60%,"Further, the Ministry of Skill Development and Entrepreneurship (MSDE) is implementing the National Apprenticeship Promotion Scheme (NAPS), Pradhan Mantri Kaushal Vikas Yojana (PMKVY), Jan Shikshan Sansthan (JSS) Scheme and Craftsman Traini",253145
,phrase,observational,1-word phrase,92,137,67%,"The IMD must continue to enhance its observational and forecasting systems, collaborate with international partners, and contribute to global efforts in understanding and mitigating the impacts of climate change",252381
,phrase,industry led,2-word phrase,89,144,62%,The event is an industry led initiative and will be organized jointly by the 11 Textile related Export Promotion Councils (EPCs) and other industry bodies,266974
,phrase,weather forecasts,2-word phrase,89,117,76%,"These services include weather forecasts (both on land and in the Oceans) and warnings for various natural disasters like tropical cyclones, storm surge, floods, heat waves, thunderstorm and lightning; alerts for Tsunamis and monitoring of ",252082
,phrase,predictions,1-word phrase,86,119,72%,"The conclave brought together experts from all over India to dwell on the need for developing foundational models in Artificial Intelligence (AI) for climate modelling in the Indian context, quality control of data and improving climate pre",255776
,phrase,based decision,2-word phrase,85,130,65%,"), (ii) Unified Logistics Interface Platform (ULIP) offering ease of logistics, and (iii) RFID-technology, Big Data Analytics, and IOT based Logistics Data Bank (LDB), will continue to enable predictive planning and objective, data-based de",252987
,phrase,scheme cts,2-word phrase,84,139,60%,,
,phrase,training scheme cts,3-word phrase,84,139,60%,,
,phrase,medium range,2-word phrase,82,121,68%,"India Meteorological Department (IMD), National Centre for Medium Range Weather Forecasting (NCMRWF), Centre for Marine Living Resources and Ecology (CMLRE), National Centre for Coastal Research (NCCR), National Centre for Seismology (NCS),",252082
,phrase,quantum communication,2-word phrase,81,121,67%,"Engaging in deep-diving sessions and touring Quantum Communication labs, he explored potential collaborations in Quantum Networks and Quantum Teleportation",252455
,phrase,meteorology,1-word phrase,80,126,63%,"India Meteorological Department (IMD), National Centre for Medium Range Weather Forecasting (NCMRWF), Centre for Marine Living Resources and Ecology (CMLRE), National Centre for Coastal Research (NCCR), National Centre for Seismology (NCS),",252082
,phrase,future ready workforce,3-word phrase,79,131,60%,"Speaking on skill development in the logistics sector, the Minister called for collaborations with institutions to train and build a future ready workforce",264343
