relid,date,title,classification,system_name,deploying_body,vendor,application_domain,technology_type,lifecycle_stage,mention_type,evidence_sentence,notes
284566,2026-02-19,New Delhi Frontier AI Commitments,NOT_DEPLOYMENT,,,,,,,policy,,Step 1 fail: voluntary commitments by AI firms at a summit. No system. Pure policy/aspiration.
277508,2025-10-14,IndiaAI Face Authentication Challenge,DEPLOYMENT,"AI face authentication & de-duplication for public examinations (unnamed, in procurement)","IndiaAI / Digital India Corporation, MeitY",TBD - challenge winners,education,"facial verification, one-to-many matching, automated duplicate detection",tendered,procurement,"This challenge invites startups and companies to develop a highly accurate, secure, and scalable AI-enabled solution for image verification and application de-duplication... Up to two top teams may be awarded a two-year contract and up to INR 1 Crore for final solution deployment.","BORDERLINE. Codebook tension: 'R&D prototypes out' vs 'announcements with no deployment evidence -> in, announced'. Coded IN: it is a procurement with a 2-year contract and a named deployment target (public examinations), not open research."
258424,2024-08-08,AI Bharat 5G/6G Hackathon,NOT_DEPLOYMENT,,,,,,,policy,,Hackathon/competition event. No deployed system. Adjacent to the 'AI training programmes: out' rule.
214560,2020-08-14,ATL AI Step-Up Module (schools),NOT_DEPLOYMENT,,,,,,,policy,,Explicit scope rule: AI training programmes are out. This is school curriculum.
239453,2023-02-27,UIDAI fingerprint liveness detection,DEPLOYMENT,"AI/ML fingerprint liveness detection for Aadhaar authentication (in-house, unnamed)","Unique Identification Authority of India (UIDAI), MeitY",,welfare,AI/ML combining finger minutia + finger image for liveness / spoof detection,operational,deployment,The Unique Identification Authority of India (UIDAI) under the Ministry of Electronics & IT has successfully rolled out a new security mechanism for Aadhaar based fingerprint authentication... The artificial intelligence and machine learning (AI/ML) based security mechanism developed in-house is now using a combination of both finger minutia and finger image to check the liveness of the finger print captured.,"CLEAREST CASE IN SAMPLE. In-house, live, at scale (~70M authentications/day). Domain spans welfare/finance/telecom; coded welfare because the release cites welfare benefits and Aadhaar-enabled payments."
220309,2021-03-18,US-India AI Initiative (USIAI),NOT_DEPLOYMENT,,,,,,,policy,,"Bilateral R&D cooperation platform: roundtables, workshops, white papers. No system."
229649,2022-01-11,AI water-purification start-up (Swajal),NOT_DEPLOYMENT,,,,,,,policy,,"BORDERLINE - REVIEW. Real AI system ('Clairvoyant' optimises purification, predicts breakdowns) but deployed by Swajal, a private firm. Government role is TDB funding + MoU, i.e. funder, not client or operator. Step 2 requires government to deploy/procure/contract/operate. If you count government co-funding as procurement, this flips to DEPLOYMENT."
261347,2024-10-18,"VP address, ISB Leadership Summit",NOT_DEPLOYMENT,,,,,,,policy,,Speech. AI named only as a disruptive technology in rhetoric.
251735,2023-12-24,"VP speech, Gautam Buddha University",NOT_DEPLOYMENT,,,,,,,policy,,Convocation speech. AI/ML mentioned as general capability.
284467,2026-02-17,AI for ALL Global Impact Challenge,NOT_DEPLOYMENT,,,,,,,policy,,Summit challenge; the top-10 winners are private firms. No government deployment described.
